Campaign_ID,Budget,Duration,Platform,Content_Type,Target_Age,Target_Gender,Region,Clicks,Conversions,CTR,CPC,Conversion_Rate,Success
CAMP-XAJI0Y,15895,39,Instagram,Video,35-44,Female,US,48297,2116,303.85026737967917,0.3291094684970081,4.381224506698138,1
CAMP-6DPBHS,960,8,LinkedIn,Video,45-54,Female,UK,15097,2340,1572.6041666666667,0.06358879247532623,15.499768165860766,1
CAMP-AHXTHV,38258,54,YouTube,Image,35-44,All,US,8134,2740,21.260912750274453,4.703466928940251,33.68576346201131,1
CAMP-3A3ZMF,44832,28,Facebook,Text,25-34,Female,US,21801,4277,48.62821199143469,2.0564194303013625,19.618366129994037,1
CAMP-8MDD4V,11384,36,Google,Story,18-24,All,UK,16503,1488,144.96661981728744,0.6898139732169909,9.016542446827849,1
CAMP-30T9NT,6365,58,LinkedIn,Image,45-54,Male,UK,20358,1558,319.84289080911236,0.3126535023086747,7.653011101286963,1
CAMP-3W5UZB,16950,47,Facebook,Text,35-44,Male,US,39018,2114,230.19469026548674,0.4344148854374904,5.418012199497667,1
CAMP-IKCIDK,37294,8,LinkedIn,Story,55+,All,Germany,30127,1045,80.78243149032016,1.237892919972118,3.468649384273243,1
CAMP-WNNHJ7,22062,39,LinkedIn,Carousel,18-24,Female,UK,43096,2432,195.34040431511195,0.5119268609615741,5.643215147577502,1
CAMP-XVG0FN,47291,59,Google,Story,25-34,All,India,34825,1583,73.63980461398575,1.3579612347451544,4.545585068198134,1
CAMP-9XUY41,44231,35,YouTube,Video,35-44,Female,Canada,48620,1309,109.92290475006217,0.9097285067873303,2.6923076923076925,1
CAMP-IBLJH7,16123,55,Instagram,Video,25-34,Male,US,46147,4918,286.2184456986913,0.3493834918846295,10.65724749171127,1
CAMP-5LXO6Q,41190,24,YouTube,Carousel,25-34,Female,US,24553,602,59.609128429230395,1.6775954058567182,2.4518388791593697,1
CAMP-JIUJV6,1785,23,Google,Image,45-54,All,Canada,2829,1621,158.48739495798318,0.630965005302227,57.29939908094733,1
CAMP-OH9SDB,869,8,Google,Text,45-54,All,Germany,21354,4881,2457.307249712313,0.040694951765477196,22.857544254003933,1
CAMP-DW2PCN,2533,8,Google,Story,35-44,Male,Canada,805,4767,31.780497433872878,3.146583850931677,592.1739130434783,1
CAMP-9T84AZ,5411,57,Facebook,Video,55+,Female,UK,39313,101,726.5385326187396,0.13763894894818507,0.2569124717014728,0
CAMP-YTJXEP,37919,50,YouTube,Image,35-44,Female,Canada,43005,4272,113.41280097048974,0.8817346820137193,9.933728636205092,1
CAMP-Q85JSG,39288,6,YouTube,Carousel,55+,Female,US,42331,238,107.74536754225208,0.9281141480239068,0.5622357137794997,0
CAMP-65KXVF,17668,32,LinkedIn,Video,25-34,Male,Canada,17450,4026,98.76613085804846,1.0124928366762178,23.07163323782235,1
CAMP-1T2TAL,19869,13,LinkedIn,Carousel,18-24,Female,India,40165,2919,202.14907645075243,0.49468442673969876,7.26752147392008,1
CAMP-A753LC,28793,32,LinkedIn,Story,35-44,All,UK,14299,2543,49.661376028895916,2.013637317294916,17.784460451779847,1
CAMP-58DRC1,6496,33,Google,Text,35-44,Female,Canada,47697,2004,734.2518472906404,0.1361930519739187,4.201522108308699,1
CAMP-1ERTJ5,27580,26,YouTube,Video,55+,Male,US,46875,1538,169.96011602610588,0.5883733333333333,3.281066666666667,1
CAMP-PHT0HL,41534,57,Google,Video,25-34,Female,UK,44875,755,108.04401213463667,0.9255487465181058,1.6824512534818943,0
CAMP-9XPSEI,25758,11,Facebook,Story,25-34,Female,US,24650,3369,95.69842379066698,1.044949290060852,13.667342799188642,1
CAMP-MVIHCW,19042,57,LinkedIn,Image,55+,All,Germany,37756,2259,198.27749186009873,0.5043436804746265,5.983154995232546,1
CAMP-I64CIY,18531,5,Google,Text,25-34,Female,India,19272,3666,103.99870487291565,0.9615504358655044,19.02241594022416,1
CAMP-HE7UR2,2847,53,Google,Video,45-54,All,Germany,33555,4236,1178.609062170706,0.08484577559231113,12.62405006705409,1
CAMP-3GDPPQ,289,33,Facebook,Text,18-24,All,India,39018,541,13501.038062283737,0.007406837869701164,1.386539545850633,0
CAMP-0Y9DOM,19218,42,Instagram,Video,35-44,Male,Canada,41189,270,214.32511187428452,0.4665808832455267,0.6555148219184734,0
CAMP-5IGQPK,35873,39,YouTube,Text,18-24,All,UK,49433,3461,137.80001672567113,0.7256893168531143,7.001395828697429,1
CAMP-I7P5TB,1999,38,Instagram,Carousel,35-44,All,Canada,41352,3409,2068.6343171585795,0.048341071774037535,8.243857612691043,1
CAMP-94874F,1367,26,LinkedIn,Video,45-54,Male,India,29198,506,2135.918068763716,0.046818275224330436,1.7329954106445646,0
CAMP-RHOCN9,31651,33,Google,Text,25-34,All,India,22352,1130,70.62020157341,1.4160254115962778,5.055476020042949,1
CAMP-J2QP89,11494,8,Facebook,Image,55+,Male,India,2673,2080,23.255611623455717,4.300037411148522,77.81518892630004,1
CAMP-UZFK8U,3656,4,Facebook,Carousel,45-54,Female,US,8696,3146,237.855579868709,0.4204231830726771,36.177552897884084,1
CAMP-T0CVS4,3990,22,YouTube,Carousel,18-24,Male,UK,13593,3243,340.6766917293233,0.2935334363275215,23.85786802030457,1
CAMP-F8CGVY,41706,30,Instagram,Image,55+,All,Canada,29010,4909,69.55833692993814,1.4376421923474665,16.921751120303345,1
CAMP-IE6IVW,30840,13,YouTube,Text,25-34,Male,Canada,22835,362,74.04345006485084,1.3505583534048609,1.585285745566017,0
CAMP-PVS7HZ,14602,6,Google,Story,45-54,All,Germany,12867,3721,88.11806601835364,1.1348410662936192,28.918939923836167,1
CAMP-IOYKL1,21877,17,YouTube,Image,55+,Female,India,31456,1457,143.78571102070669,0.6954793997965412,4.631866734486267,1
CAMP-CQ99CH,10727,8,Facebook,Text,45-54,Male,India,23506,4068,219.12929989745498,0.4563515698119629,17.306219688590147,1
CAMP-J755NF,8892,56,Facebook,Image,45-54,Female,India,23827,4196,267.9599640125956,0.37319007848239394,17.61027405884081,1
CAMP-4ZW9XA,43423,51,LinkedIn,Image,25-34,All,Canada,20964,1682,48.278562052368564,2.0713127265788973,8.023278000381605,1
CAMP-3KX7EE,43121,32,LinkedIn,Video,35-44,All,Germany,29603,1053,68.6510053106375,1.4566429078133973,3.55707191838665,1
CAMP-DTJVZH,8533,58,Google,Text,55+,Female,US,23598,2510,276.54986522911054,0.361598440545809,10.636494618187982,1
CAMP-WJR64D,43101,40,Instagram,Story,25-34,Male,UK,37315,4728,86.57571750075405,1.1550582875519229,12.670507838670774,1
CAMP-PJA1WJ,11116,53,YouTube,Video,45-54,Male,US,40751,682,366.59769701331413,0.2727785821206842,1.673578562489264,0
CAMP-0TPAC5,23997,59,Google,Image,25-34,All,Canada,6777,3933,28.2410301287661,3.5409473218238157,58.03452855245684,1
